file;parameter;min_makespan;avg_makespan;max_makespan;min_time;avg_time;max_time
C:\dev\osis\jobs_5;5;705;12588.3;25767;0.004538299981504679;0.015463699982501567;0.027350999996997416
C:\dev\osis\jobs_10;10;2262;9026.8;21441;0.012955900048837066;0.04754497002577409;0.11348009994253516
C:\dev\osis\jobs_20;20;7147;16816.9;26460;0.20122629997786134;0.504311750002671;0.8145284000784159
C:\dev\osis\jobs_30;30;1726;17159.1;30451;0.033063999959267676;1.5341448299936018;2.8914273000555113
C:\dev\osis\jobs_40;40;4728;18285.7;30846;0.5222754999995232;3.5155761000001804;6.342865800019354
C:\dev\osis\jobs_50;50;3608;21746.1;31858;0.4144014000194147;7.720324250019621;11.94799860008061
C:\dev\osis\machines_5;5;564;1561.7;2391;0.005018600029870868;0.036054049979429695;0.0913175999885425
C:\dev\osis\machines_10;10;1110;1781.2;3196;0.0029920999659225345;0.05078159001423046;0.23903219995554537
C:\dev\osis\machines_20;20;1685;2650.8888888888887;3898;0.008297499967738986;0.14593826666370863;0.42390099994372576
C:\dev\osis\machines_30;30;1828;3465.6666666666665;4466;0.006513900007121265;0.22871782223228365;0.5635933000594378
C:\dev\osis\machines_40;40;3236;4180.125;5325;0.043146600015461445;0.3420294750103494;0.9573334000306204
C:\dev\osis\machines_50;50;2860;4531.555555555556;5915;0.006480899988673627;0.34179532221363235;1.059208899969235
